title,abstract,authors,year,doi,source,include_title_screening,exclusion_reason,url,publisher,cites,objectives,study_design,ai_techniques,data_sources,feedback_type,performance_dimensions,results,limitations,future_work,participants,evaluation_metrics,publication_type,country
Convolutional neural networks for the classification of guitar effects and extraction of the parameter settings of single and multi-guitar effects from instrument …,"… of guitar effects and extraction of their parameter settings from solo guitar audio recordings. … and parameter extraction of guitar effects from audio samples containing guitar, bass, …","R Hinrichs, K Gerkens, A Lange, ...",2022,10.1186/s13636-022-00257-4,Google Scholar,yes,,https://link.springer.com/article/10.1186/s13636-022-00257-4,Springer,8,,,,,,,,,,,,,
Classification of guitar effects and extraction of their parameter settings from instrument mixes using convolutional neural networks,… The confusion of slapback and feedback delay on the GEC-GIT is not surprising as mostly very small parameter settings for the feedback parameter of the feedback delay were …,"R Hinrichs, K Gerkens, J Ostermann",2022,10.1007/978-3-031-03789-4_7,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-03789-4_7,Springer,6,,,,,,,,,,,,,
A customizable mathematical model for determining the difficulty of guitar triad chords for machine learning,"… Music recommendation systems (MRS) for guitar learning … , guitar is one of the toughest instruments to play, and the growing number of guitar learners makes system design for guitar …","N Sharma, S Sharma",2022,10.1007/978-981-99-2322-9_51,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-981-99-2322-9_51,Springer,8,,,,,,,,,,,,,
Towards developing a virtual guitar instructor through biometrics informed human-computer interaction,"… of guitar players, we intend to apply deep learning models, eg, … human feedback (via insights from expert guitar performers) to … and amateur guitar players and receive their feedback on …","C Rhodes, R Allmendinger, C Jay, ...",2023,10.1145/3544549.3582738,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3544549.3582738,dl.acm.org,7,,,,,,,,,,,,,
Measuring the impacts of extra-musical elements in guitar music playing: a pilot study,"… In addition, to measure manifestations of expressivity … From these results, we used machine learning techniques to … test the experts’ evaluation and audio analysis processes. Following …","I Héroux, S Giraldo, R Ramírez, F Dubé, ...",2020,10.3389/fpsyg.2020.01964,Google Scholar,yes,,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01964/full,frontiersin.org,3,,,,,,,,,,,,,
Cloud-smart musical instrument interactions: Querying a large music collection with a smart guitar,"… criteria, a formal evaluation of the audio analysis can be made. … if we consider that machine learning methods may need large training … This is a nascent topic within the machine learning …","L Turchet, J Pauwels, C Fischione, ...",2020,10.1145/3377881,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3377881,dl.acm.org,49,,,,,,,,,,,,,
GTR-CTRL: instrument and genre conditioning for guitar-focused music generation with transformers,"… In this work, we use the DadaGP dataset for guitar tab music … Transformer-XL deep learning model to generate guitar tabs (… a toolkit for symbolic music generation and evaluation [8]. We …","P Sarmento, A Kumar, YH Chen, CJ Carr, ...",2023,10.1007/978-3-031-29956-8_17,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-29956-8_17,Springer,40,,,,,,,,,,,,,
GUITAR: Gradient Pruning toward Fast Neural Ranking,… measure evaluation is saved by using GUITAR? … deep learning for feature learning in a new neural network architecture. We set the factorization part dimension as 8 and deep learning …,"W Zhao, S Tan, P Li",2024,10.1145/3626772.3657728,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3626772.3657728,dl.acm.org,2,,,,,,,,,,,,,
Leveraging Computer Vision Networks for Guitar Tablature Transcription,"… guitar tablature transcription network named TabCNN against state-of-the-art computer vision networks. The evaluation … to transcribe guitar-related notations, also called guitar tablatures…","C El Achkar, R Couturier, A Makhoul, ...",2023,10.1007/978-3-031-50069-5_2,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-50069-5_2,Springer,2,,,,,,,,,,,,,
Interactive machine learning of musical gesture,… negative guiding feedback to the agent about the proposed mapping. This feedback guides … The piece is a duet for alto or soprano sax and electric guitar tuned in Drop C (open strings …,"FG Visi, A Tanaka",2021,10.1007/978-3-030-72116-9_27,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-030-72116-9_27,Springer,39,,,,,,,,,,,,,
