Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21,"SI Giraldo, R Ramirez","A machine learning approach to discover rules for expressive performance actions in jazz guitar music",2016,"Frontiers in psychology","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01965/full","https://scholar.google.com/scholar?cites=11324419548964251350&as_sdt=2005&sciodt=2007&hl=en",1,"2025-12-14 08:01:17","HTML","10.3389/fpsyg.2016.01965","","",,,,,21,2.33,11,2,9,"… , and ornamentation transformations in jazz guitar music. We extract … We apply machine learning techniques to the resulting … by two other professional jazz guitar players. Results show a …","https://www.frontiersin.org/articles/10.3389/fpsyg.2016.01965/full","https://scholar.google.com/scholar?q=related:1uaAl5RrKJ0J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
32,"J Abeßer","Automatic string detection for bass guitar and electric guitar",2012,"International Symposium on Computer Music Modeling …","Springer","https://link.springer.com/chapter/10.1007/978-3-642-41248-6_18","https://scholar.google.com/scholar?cites=7743047133474773867&as_sdt=2005&sciodt=2007&hl=en",2,"2025-12-14 08:01:17","","10.1007/978-3-642-41248-6_18","","",,,,,32,2.46,32,1,13,"… a machine learning-based approach to automatically estimate the fretboard position (string number and fret number) from recordings of the bass guitar and the electric guitar. … evaluation …","http://cmmr2012.eecs.qmul.ac.uk/sites/cmmr2012.eecs.qmul.ac.uk/files/pdf/papers/cmmr2012_submission_70.pdf","https://scholar.google.com/scholar?q=related:a9ve7VfUdGsJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
31,"T Vanhatalo, P Legrand, M Desainte-Catherine, ...","A review of neural network-based emulation of guitar amplifiers",2022,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/12/12/5894","https://scholar.google.com/scholar?cites=12511344778150324073&as_sdt=2005&sciodt=2007&hl=en",3,"2025-12-14 08:01:17","HTML","","","",,,,,31,10.33,8,4,3,"… amplifier emulation will be presented along with an evaluation of the approaches as well as their … Machine Learning (ML) methods have also been proposed for the emulation of guitar …","https://www.mdpi.com/2076-3417/12/12/5894","https://scholar.google.com/scholar?q=related:aacWrMk5oa0J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
59,"YP Chen, L Su, YH Yang","Electric Guitar Playing Technique Detection in Real-World Recording Based on F0 Sequence Pattern Recognition.",2015,"ISMIR","archives.ismir.net","https://archives.ismir.net/ismir2015/paper/000119.pdf","https://scholar.google.com/scholar?cites=1305023005274080611&as_sdt=2005&sciodt=2007&hl=en",4,"2025-12-14 08:01:17","PDF","","","",,,,,59,5.90,20,3,10,"… To examine how the proposed approach can be applied to real-world recordings with accompaniment, we also conduct a preliminary evaluation using 5 well-known guitar solo tracks …","https://archives.ismir.net/ismir2015/paper/000119.pdf","https://scholar.google.com/scholar?q=related:YwUTTYJfHBIJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
39,"S Giraldo, R Ramírez-Melendez","A machine learning approach to ornamentation modeling and synthesis in jazz guitar",2018,"Machine Learning and Music …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.4324/9781351234542-3/machine-learning-approach-ornamentation-modeling-synthesis-jazz-guitar-sergio-giraldo-rafael-ram%C3%ADrez-melendez","https://scholar.google.com/scholar?cites=9020973547072212139&as_sdt=2005&sciodt=2007&hl=en",5,"2025-12-14 08:01:17","","10.4324/9781351234542-3/machine-learning-approach-ornamentation-modeling-synthesis-jazz-guitar-sergio-giraldo-rafael-ram%C3%ADrez-melendez","","",,,,,39,5.57,20,2,7,"… Similarly to the evaluation of the different machine learning algorithms, for synthesis we followed a leave-one-piece-out scheme in which, on each fold, the notes of one piece were used …","https://www.researchgate.net/profile/Sergio-Giraldo/publication/309209500_A_machine_learning_approach_to_ornamentation_modeling_and_synthesis_in_jazz_guitar/links/5c23734fa6fdccfc706a1349/A-machine-learning-approach-to-ornamentation-modeling-and-synthesis-in-jazz-guitar.pdf","https://scholar.google.com/scholar?q=related:q0xvWaXvMH0J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
1,"S Giraldo, A Nasarre, I Heroux, R Ramirez","A Machine Learning Approach to Study Expressive Performance Deviations in Classical Guitar",2019,"… on Machine Learning and …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-43887-6_48","https://scholar.google.com/scholar?cites=8959557661249830900&as_sdt=2005&sciodt=2007&hl=en",6,"2025-12-14 08:01:17","","10.1007/978-3-030-43887-6_48","","",,,,,1,0.17,0,4,6,"… present a machine learning approach … evaluation consisted in obtaining the correlations among the actual deviations for each note, among all performers. Later, at the Machine Learning …","","https://scholar.google.com/scholar?q=related:9P9sHzm-VnwJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
9,"A Martelloni, AP McPherson, M Barthet","Real-time percussive technique recognition and embedding learning for the acoustic guitar",2023,"arXiv preprint arXiv:2307.07426","arxiv.org","https://arxiv.org/abs/2307.07426","https://scholar.google.com/scholar?cites=10133492817377006640&as_sdt=2005&sciodt=2007&hl=en",7,"2025-12-14 08:01:17","","","","",,,,,9,4.50,3,3,2,"… Our method relies on deep learning to develop recognition and embedding learning of guitar body … us to pursue a further type of behavioural evaluation with guitar players. In particular, …","https://arxiv.org/pdf/2307.07426","https://scholar.google.com/scholar?q=related:MJS6IQdmoYwJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
2,"M CHEN, PM LINDBORG","Observations on Guitar Music Produced by AI Reverberation and Professional Sound Engineers",2023,"… Journal of Music Science, Technology and …","ijmsta.com","http://www.ijmsta.com/Vol_5_1_Papers/IJMSTA_Paper_1.pdf","https://scholar.google.com/scholar?cites=15754835019346290748&as_sdt=2005&sciodt=2007&hl=en",8,"2025-12-14 08:01:17","PDF","","","",,,,,2,1.00,1,2,2,"… Artificial intelligence (AI) technologies have been applied in music … of evaluation on human-processed reverberation increases with the assessment of Clarity while the evaluation on AI-…","http://www.ijmsta.com/Vol_5_1_Papers/IJMSTA_Paper_1.pdf","https://scholar.google.com/scholar?q=related:PCgFN_pqpNoJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
10,"C Erdem, Q Lan, J Fuhrer, C Martin, J Torresen, ...","Towards playing in the'Air': Modeling motion-sound energy relationships in electric guitar performance using deep neural networks",2020,"","openresearch-repository.anu.edu.au","https://openresearch-repository.anu.edu.au/items/2752e22c-a94c-4fa5-a0ec-c670d6c19223","https://scholar.google.com/scholar?cites=14646546972087175938&as_sdt=2005&sciodt=2007&hl=en",9,"2025-12-14 08:01:17","","","","",,,,,10,2.00,2,6,5,"… Air Guitar [4] and the Virtual Slide Guitar [5]. There are also more recent examples of using deep learning … Although no systematic evaluation has taken place, our sonification experiment …","https://openresearch-repository.anu.edu.au/bitstreams/cbaf775e-50dd-4920-b00c-e4ab7ec6dba3/download","https://scholar.google.com/scholar?q=related:AktU0d78QssJ:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
2,"TH Özaslan","Computational analysis of expressivity in classical guitar performances",2013,"","tdx.cat","https://www.tdx.cat/handle/10803/128877","https://scholar.google.com/scholar?cites=3413869493056051784&as_sdt=2005&sciodt=2007&hl=en",10,"2025-12-14 08:01:17","","","","",,,,,2,0.17,2,1,12,"… Second, we conducted a comprehensive analysis of timing deviations in classical guitar. Timing … Our system exploits feature extraction and machine learning techniques. Classification …","https://www.tdx.cat/bitstream/handle/10803/128877/ttho.pdf?sequence=6.xml","https://scholar.google.com/scholar?q=related:SBomazeAYC8J:scholar.google.com/&scioq=guitar%7C%22electric+guitar%22+%22artificial+intelligence%22%7C%22machine+learning%22%7C%22deep+learning%22%7C%22audio+analysis%22+feedback%7C%22performance+analysis%22%7Cevaluation%7Cexpressivity&hl=en&as_sdt=2007"
