id,title,authors,year,abstract,doi,url,source_database,venue,language,document_type,Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL,Author Affiliations,Date Added To Xplore,Start Page,End Page,ISBNs,Funding Information,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Document Identifier,apc_list.value,apc_paid.value,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,funders.display_name,fwci,ids.pmid,is_retracted,open_access.is_oa,open_access.oa_status,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,type,include_title_abstract,exclusion_reason,notes
999,Research on AI Music Teaching Evaluation Model Based on Deep Learning,J. Li; F. Yan,2025.0,"This paper designs and implements a deep neural network-based assessment framework, which efficiently analyzes students' learning data in multiple dimensions, including audio signals, performance accuracy, pitch, and rhythm. In this paper, we design and implement a deep neural network-based assessment framework, which efficiently analyzes students' learning data in multiple dimensions, including audio signal, performance accuracy, pitch and rhythm. Through a large number of experiments, the effectiveness of the model in the assessment of music teaching effectiveness is verified, and the results show that the model has high advantages in assessment accuracy, real-time and adaptability. Finally, this paper also explores the potential of the model in future AI music teaching and proposes directions for further optimization and promotion of its application. The study shows that the AI music teaching assessment model based on deep learning effectively promotes the innovative development of music education, and has important theoretical value and practical significance.",10.1109/dapic66097.2025.00059,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10989108,IEEE,"2025 International Conference on Digital Analysis and Processing, Intelligent Computation (DAPIC)",,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Dianchi College, Yunnan, China; Dianchi College, Yunnan, China",16 May 2025,1,6,979-8-3315-3616-9,,Deep Learning;AI Music Teaching;Assessment Models;Educational Technology;Music Learning Outcomes,Deep learning;Adaptation models;Accuracy;Computational modeling;Education;Evaluation models;Rhythm;Data models;Real-time systems;Artificial intelligence,,1.0,,12.0,IEEE,16 May 2025,26-28 Feb. 2025,26-28 Feb. 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: music education, music teaching, student, students, teaching, learning, education. IA: ai, deep learning, neural network. Performance/feedback: assessment, evaluation, pitch, rhythm, accuracy, audio signal, performance."
1000,Adaptive Efficacy Assessment Method for Music Education via Multimodal Deep Learning Fusion,W. Li,2026.0,"Addressing the limitations inherent in traditional music education assessment—specifically strong subjectivity, delayed feedback, and the loss of technical details due to single-modality information—this paper proposes a novel Adaptive Efficacy Assessment Method (MAAF) based on multimodal deep learning fusion. The method constructs an audio-visual dual-stream neural network architecture: the auditory channel utilizes an improved ResNet to extract high-dimensional acoustic features from Mel-spectrograms; the visual channel integrates OpenPose hand keypoint detection with Spatio-Temporal Graph Convolutional Networks (ST-GCN) to capture fine-grained performance techniques, employing a confidence-based masking strategy to effectively suppress occlusion noise. Furthermore, to address the challenge of spatiotemporal asynchrony in heterogeneous data, we design a linear interpolation alignment strategy and an Adaptive Gated Attention Mechanism to realize dynamic weight allocation for audio-visual features. Empirical research based on the URMP dataset and a newly constructed Real-World Classroom Dataset (RWCD), validated by expert reliability tests, demonstrates that the proposed model achieves an assessment accuracy (PCC=0.898) that is significantly superior to mainstream SOTA architectures (e.g., Transformers). Furthermore, extensive experiments on heterogeneous instruments (e.g., Piano, Guitar) confirm the model's robustness and cross-domain generalization capabilities. The model effectively simulates the multi-sensory collaborative assessment logic of human experts.",10.1109/cnml68938.2026.11453256,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11453256,IEEE,2026 International Conference on Communication Networks and Machine Learning (CNML),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Laiwu Vocational and Technical College, Shandong, China",31 Mar 2026,1284,1290,979-8-3315-9047-5,,Multimodal Fusion;Adaptive Attention Mechanism;Spatio-Temporal Graph Convolutional Network (ST-GCN);Deep Learning;Music Education Assessment,Deep learning;Adaptation models;Visualization;Attention mechanisms;Education;Noise;Logic gates;Transformers;Robustness;Spatiotemporal phenomena,,,,11.0,IEEE,31 Mar 2026,30 Jan.-1 Feb. 2026,30 Jan.-1 Feb. 2026,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,sim,,"Incluído automaticamente: estudo relacionado a guitarra/violão, IA e ensino, aprendizagem, feedback ou análise de performance. Instrumento: guitar. IA: deep learning, neural network, transformer. Educação: music education, learning, education. Performance/feedback: feedback, assessment, tempo, accuracy, technique, adaptive, feedback, performance."
1002,"Artificial Intelligence in Music Education: Trends, Challenges, and Future Directions",C. A. N. Mazlan; S. I. Koning; M. Y. M. Yusoff; D. S. H. A. Hassim; R. Hidayatullah; S. Jamnongsarn,2025.0,"This study explores the integration of Artificial Intelligence (AI) in music education through a bibliometric analysis and scoping review. It identifies key research trends, influential works, and emerging themes related to AI-driven pedagogical applications. Beyond mapping scholarly output, the study synthesizes findings to highlight how AI enhances music learning through personalized feedback, operational efficiency, and improved music literacy. The analysis offers insights into AI's role in curriculum design and instructional strategies and proposes actionable implications for educators and researchers. The findings contribute to a deeper understanding of AI's impact and provide practical directions for advancing music education.",10.1109/icaie64856.2025.11158139,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11158139,IEEE,2025 5th International Conference on Artificial Intelligence and Education (ICAIE),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Music and Performing Arts Faculty, Universiti Pendidikan Sultan Idris, Tanjung Malim, Perak, Malaysia; Music and Performing Arts Faculty, Universiti Pendidikan Sultan Idris, Tanjung Malim, Perak, Malaysia; Music and Performing Arts Faculty, Universiti Pendidikan Sultan Idris, Tanjung Malim, Perak, Malaysia; Colleg of Creative Arts, Universiti Teknologi MARA, Shah Alam, Selangor, Malaysia; Fakultas Keguruan dan Ilmu Pendidikan, Universitas Lampung, Kota Bandar Lampung, Indonesia; Graduate Program in Thai and Asian Music, Faculty of Fine Arts, Srinakharinwirot University, Bangkok, Thailand",23 Sep 2025,713,717,979-8-3315-2295-7,Universiti Pendidikan Sultan Idris; ,artificial intelligence;music education;bibliometric analysis;scoping review;ai pedagogy;dual systematic review,Ethics;Costs;Education;Bibliometrics;Collaboration;Learning (artificial intelligence);Market research;Artificial intelligence;Systematic literature review,,2.0,,43.0,IEEE,23 Sep 2025,14-16 May 2025,14-16 May 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: music education, music learning, learning, education. IA: artificial intelligence, ai. Performance/feedback: feedback, personalized feedback, feedback."
1003,"Artificial Intelligence in Music Education: Exploring Applications, Benefits, and Challenges",Y. Yue; Y. Jing,2025.0,"This research investigates the present scenario of developments in artificial intelligence in music education in general and in various methods used to improve pedagogical practice as well as approaches that have developed in this field. The analysis is on benefits of integrating AI on teaching music on adapted learning experience, automated processes of assessments, and greater accessibility. It also takes into consideration challenges of integrating AI on teaching music on technological limitations, issues of ethics, and how teaching professionals can remain professional through continuing educations on ongoing bases. The conclusion is on offering ideas on how to carry out its research on its future along with real life implementation within this new body of literature.",10.1109/iceit64364.2025.10976152,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10976152,IEEE,2025 14th International Conference on Educational and Information Technology (ICEIT),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"School of Education, Shanghai Normal University, Tianhua College, Shanghai, China; School of Education, Shanghai Normal University, Tianhua College, Shanghai, China",1 May 2025,141,146,979-8-3315-4088-3,,Music Education;Artificial Intelligence;Learning;Methods of Education,Learning systems;Continuing education;Ethics;Reviews;Education;Buildings;Collaboration;Software;Artificial intelligence;Information technology,,,,52.0,IEEE,1 May 2025,14-16 March 2025,14-16 March 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: music education, teaching, learning, education. IA: artificial intelligence, ai. Performance/feedback: assessment."
1004,Design and Development of Automatic Arrangement System for Interactive Music Education Based on Deep Neural Network,P. Chen,2024.0,"With the continuous development of deep learning technology and the increasing demand of music education, the automatic arrangement system of interactive music education has become a hot spot in research and practice. Aiming at this problem, this paper puts forward a design and development method of automatic arrangement system for interactive music education based on Deep Neural Network (DNN). Firstly, this paper introduces the overall architecture of the system, including the design of key modules such as music encoder, music generator and music decoder. Then, this article elaborates on the selection and design process of DNN models, using techniques such as self attention mechanism and Generative Adversarial Network (GAN) to improve the system's modeling ability and generation effect on music sequences. This article conducted experiments using multiple music datasets to evaluate the quality, diversity, and user experience of the system's generated music works. The experimental results show that the system proposed in this paper performs well in the task of music generation, with good generation effect and user experience. On the whole, the automatic arrangement system of interactive music education based on DNN proposed in this paper provides new ideas and methods for the development of music education and music creation.",10.1109/aiars63200.2024.00115,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10708887,IEEE,2024 3rd International Conference on Artificial Intelligence and Autonomous Robot Systems (AIARS),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Wenhua College, Wuhan, Hubei, China",14 Oct 2024,599,604,979-8-3503-7617-3,,Deep Neural Network;Automatic Arrangement System;Music Education,Education;Artificial neural networks;Generative adversarial networks;Rhythm;User experience;Real-time systems;Stability analysis;Generators;Modeling;Thermal stability,,,,12.0,IEEE,14 Oct 2024,29-31 July 2024,29-31 July 2024,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: music education, learning, education. IA: deep learning, neural network. Performance/feedback: technique."
1005,Design and Development of Music Intelligent Education System Based on Artificial Intelligence,B. Xu,2024.0,"In traditional teaching, students may find it difficult to receive timely and personalized feedback, and some students may lose interest in music learning due to the monotony of traditional learning methods. This article aimed to design a music intelligent education system based on artificial intelligence (AI), providing rich learning content and personalized guidance to enhance students' interest in learning. The artificial intelligence based music intelligent education system designed in this article was divided into basic information management module, student music task management module, personalized recommendation module, interactive community module, and artificial intelligence algorithm module. It can monitor student performance, provide personalized feedback and guidance, help students improve, and provide a richer and more interesting learning experience. The experimental results of this article showed that under traditional music education, only 21 students were very interested in music, while under the music intelligent education system, there were 120 students who were very interested in music. The music intelligent education system based on artificial intelligence can not only compensate for the shortcomings of traditional music education, but also provide students with more personalized, efficient, and interesting learning experiences.",10.1109/icdcece60827.2024.10548114,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10548114,IEEE,2024 Third International Conference on Distributed Computing and Electrical Circuits and Electronics (ICDCECE),,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Wuhan Business University, Wuhan, Hubei, China",12 Jun 2024,1,6,979-8-3503-1860-9,,artificial intelligence;music intelligent education system;personalized recommendation;interactive community;collaborative filtering,Learning systems;Education;Music;Learning (artificial intelligence);Market research;Planning;Artificial intelligence,,6.0,,15.0,IEEE,12 Jun 2024,26-27 April 2024,26-27 April 2024,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: music education, music learning, student, students, teaching, learning, education. IA: artificial intelligence, ai. Performance/feedback: feedback, personalized feedback, feedback, performance."
1006,Open Dataset for Modeling Nonlinear Systems for Electric Guitar,M. Huzvar; S. Vitek,2025.0,"A robust representative dataset is a critical component in proper training of any neural network. In this paper, we present a dataset designed specifically for training models of nonlinear systems relevant to electric guitar, including distortion effects and amplifiers. Our dataset, which reflects developments in the design of electric guitars, is carefully selected and ready for further extension using readily available commercial recording equipment. The introduced dataset consists of source audio signals recorded on several guitars and short synthesized samples, and corresponding output signals from several systems at several setting combinations.",10.1109/radioelektronika65656.2025.11008383,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11008383,IEEE,2025 35th International Conference Radioelektronika (RADIOELEKTRONIKA),,,,,,,,IEEE,,,,,,,2767-9969,,,,,,,,,,,,,,"dept. of Radioelectronics, Faculty of Electrical Engineering, CTU in Prague, Prague, Czech Republic; dept. of Radioelectronics, Faculty of Electrical Engineering, CTU in Prague, Prague, Czech Republic",23 May 2025,1,4,979-8-3315-4447-8,,Signal Processing;Machine Learning;Neural Networks;Dataset;Nonlinear Systems;System Modeling,Training;Performance evaluation;Neural networks;Nonlinear distortion;Machine learning;Systems modeling;Cost function;Recording;Nonlinear systems;Usability,,,,16.0,IEEE,23 May 2025,12-14 May 2025,12-14 May 2025,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,sim,,"Incluído automaticamente: estudo relacionado a guitarra/violão, IA e ensino, aprendizagem, feedback ou análise de performance. Instrumento: guitar, electric guitar. IA: neural network. Educação: . Performance/feedback: audio signal."
1007,SynthTab: Leveraging Synthesized Data for Guitar Tablature Transcription,Y. Zang; Y. Zhong; F. Cwitkowitz; Z. Duan,2024.0,"Guitar tablature is a form of music notation widely used among guitarists. It captures not only the musical content of a piece, but also its implementation and ornamentation on the instrument. Guitar Tablature Transcription (GTT) is an important task with broad applications in music education, composition, and entertainment. Existing GTT datasets are quite limited in size and scope, rendering models trained on them prone to overfitting and incapable of generalizing to out-of-domain data. In order to address this issue, we present a methodology for synthesizing large-scale GTT audio using commercial acoustic and electric guitar plugins. We procure SynthTab, a dataset derived from DadaGP, which is a vast and diverse collection of richly annotated symbolic tablature. The proposed synthesis pipeline produces audio which faithfully adheres to the original fingerings and a subset of techniques specified in the tablature, and covers multiple guitars and styles for each track. Experiments show that pre-training a baseline GTT model on SynthTab can improve transcription performance when fine-tuning and testing on an individual dataset. More importantly, cross-dataset experiments show that pre-training significantly mitigates issues with overfitting.",10.1109/icassp48485.2024.10447902,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10447902,IEEE,"ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,,,,,,IEEE,,,,,,,2379-190X,,,,,,,,,,,,,,"Department of Electrical and Computer Engineering, University of Rochester, Rochester, NY, USA; Department of Electrical and Computer Engineering, University of Rochester, Rochester, NY, USA; Department of Electrical and Computer Engineering, University of Rochester, Rochester, NY, USA; Department of Electrical and Computer Engineering, University of Rochester, Rochester, NY, USA",18 Mar 2024,1286,1290,979-8-3503-4485-1,National Science Foundation; ,guitar tablature transcription dataset;string-accurate;timbre-rich;sample-based synthesis;music transcription,Training;Instruments;Pipelines;Signal processing;Acoustics;Software;Timbre,,7.0,,24.0,IEEE,18 Mar 2024,14-19 April 2024,14-19 April 2024,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante: há guitarra/violão e análise de performance, feedback ou avaliação, mas a técnica de IA não aparece claramente no título/resumo. Instrumento: guitar, electric guitar, guitarist, guitarists, guitar tablature, tablature. Performance/feedback: technique, tablature transcription, performance."
1008,Personalized Music Education: A Systematic Review of AI Generation Methods,F. Carnovalini; L. Espírito Santo; G. A. Wiggins,2025.0,"Despite recent notable advances of AI-Education research, formal music education is still largely performed as it was at the beginning of the last century. Instrument technical practice especially is still largely performed in a classical setting with little use of modern technologies, possibly due to being a skill-based curriculum. While other researchers have argued for the potential benefits of using Artificial Intelligence for the personalization of music education, it still seems to be rare both in schools and in research. In this paper, we present a systematic literature review exploring the use of computational generation of exercises for personalized music learning, with a special interest in piano. To do so, we retrieve research papers that use AI to improve personalization in music education exploring both what computational methods can provide personalization in music teaching, and how frequently AI is actually used for generation in this context. We screened 360 papers retrieved from online repositories, selecting 40 relevant papers that would satisfy some minimal quality requirements. Analyzing the papers, we found that while there is interest from the scientific community in improving music education through AI and computational means more generally, AI is under-utilized for generation despite its potential for personalization. We found no examples of generation of piano technical exercises, and, more generally, that instrumental technique is indeed the aspect that has seen lesser use of AI enhancement, often limited to adding visualizations to normal instrumental practice.",10.1109/access.2025.3639898,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11275896,IEEE,IEEE Access,,,,,,,,IEEE,,,,,,,2169-3536,,13,,,,,,,,,,,,"Vrije Universiteit Brussel, Brussels, Belgium; Vrije Universiteit Brussel, Brussels, Belgium; Vrije Universiteit Brussel, Brussels, Belgium",15 Dec 2025,207433,207447,,"European Commission(grant numbers:HORIZON-MSCA-2022-PF-01,101108690); ",AI-education;generative AI;music education;music generation;personalization;systematic literature review,Education;Artificial intelligence;Systematic literature review;Instruments;Generative AI;Surveys;Europe;Computer science;Visualization;Music,,2.0,,68.0,CCBY,3 Dec 2025,2025,,IEEE Journals,,,,,,,,,,,,,,,,,,,,,,,,,,,talvez,,"Possivelmente relevante como estudo geral de IA em educação musical, mas sem evidência direta de guitarra elétrica ou violão. Educação musical: music education, music learning, music teaching, teaching, learning, education. IA: artificial intelligence, ai. Performance/feedback: technique, personalization."
1009,TapToTab: Video-Based Guitar Tabs Generation Using AI and Audio Analysis,A. Ghaleb; E. Elsadawy; I. Essam; S. -E. Zaky; M. Abdelhakim; N. Fahim; R. Bayoumi; H. Hindy,2024.0,"The automation of guitar tablature generation from video inputs holds significant promise for enhancing music education, transcription accuracy, and performance analysis. Existing methods face challenges with consistency and completeness, particularly in detecting fretboards and accurately identifying notes. To address these issues, this paper introduces an advanced approach leveraging deep learning, specifically YOLO models for real-time fretboard detection, and Fourier Transform-based audio analysis for precise note identification. Experimental results demonstrate substantial improvements in detection accuracy and robustness compared to traditional techniques. This paper outlines the development, implementation, and evaluation of these methodologies, aiming to revolutionize guitar instruction by automating the creation of guitar tabs from video recordings.",10.1109/miucc62295.2024.10783648,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10783648,IEEE,"2024 International Mobile, Intelligent, and Ubiquitous Computing Conference (MIUCC)",,,,,,,,IEEE,,,,,,,,,,,,,,,,,,,,,"Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt; Faculty of Computer and Information Sciences, Ain Shams University, Cairo, Egypt",16 Dec 2024,148,155,979-8-3503-6777-5,,Automated Guitar Transcription;Computer Vision;YOLO;Deep Learning;Frequency Analysis;Fourier Transform;Image Processing;Canny Edge Detection;Fretboard Detection;Audio-visual Integration;Guitar Tablature Generation;Real-time Performance Analysis,YOLO;Accuracy;Image edge detection;Streaming media;Ubiquitous computing;Robustness;Real-time systems;Performance analysis;Video recording;Faces,,,,15.0,IEEE,16 Dec 2024,13-14 Nov. 2024,13-14 Nov. 2024,IEEE Conferences,,,,,,,,,,,,,,,,,,,,,,,,,,,sim,,"Incluído automaticamente: estudo relacionado a guitarra/violão, IA e ensino, aprendizagem, feedback ou análise de performance. Instrumento: guitar, guitar tablature, tablature, tabs, fretboard. IA: ai, deep learning. Educação: music education, guitar instruction, learning, education. Performance/feedback: performance analysis, evaluation, accuracy, technique, audio analysis, performance."
