title,doi,authors,year,methodological_clarity,methodological_clarity_notes,ai_appropriateness,ai_appropriateness_notes,dataset_quality,dataset_quality_notes,results_transparency,results_transparency_notes,replicability,replicability_notes,sample_size_adequacy,sample_size_adequacy_notes,evaluation_rigor,evaluation_rigor_notes,overall_quality_score,risk_of_bias,quality_notes
Convolutional neural networks for the classification of guitar effects and extraction of the parameter settings of single and multi-guitar effects from instrument …,10.1186/s13636-022-00257-4,"R Hinrichs, K Gerkens, A Lange, ...",2022,,,,,,,,,,,,,,,,,
Classification of guitar effects and extraction of their parameter settings from instrument mixes using convolutional neural networks,10.1007/978-3-031-03789-4_7,"R Hinrichs, K Gerkens, J Ostermann",2022,,,,,,,,,,,,,,,,,
A customizable mathematical model for determining the difficulty of guitar triad chords for machine learning,10.1007/978-981-99-2322-9_51,"N Sharma, S Sharma",2022,,,,,,,,,,,,,,,,,
Towards developing a virtual guitar instructor through biometrics informed human-computer interaction,10.1145/3544549.3582738,"C Rhodes, R Allmendinger, C Jay, ...",2023,,,,,,,,,,,,,,,,,
Measuring the impacts of extra-musical elements in guitar music playing: a pilot study,10.3389/fpsyg.2020.01964,"I Héroux, S Giraldo, R Ramírez, F Dubé, ...",2020,,,,,,,,,,,,,,,,,
Cloud-smart musical instrument interactions: Querying a large music collection with a smart guitar,10.1145/3377881,"L Turchet, J Pauwels, C Fischione, ...",2020,,,,,,,,,,,,,,,,,
GTR-CTRL: instrument and genre conditioning for guitar-focused music generation with transformers,10.1007/978-3-031-29956-8_17,"P Sarmento, A Kumar, YH Chen, CJ Carr, ...",2023,,,,,,,,,,,,,,,,,
GUITAR: Gradient Pruning toward Fast Neural Ranking,10.1145/3626772.3657728,"W Zhao, S Tan, P Li",2024,,,,,,,,,,,,,,,,,
Leveraging Computer Vision Networks for Guitar Tablature Transcription,10.1007/978-3-031-50069-5_2,"C El Achkar, R Couturier, A Makhoul, ...",2023,,,,,,,,,,,,,,,,,
Interactive machine learning of musical gesture,10.1007/978-3-030-72116-9_27,"FG Visi, A Tanaka",2021,,,,,,,,,,,,,,,,,
Artificial intelligence in music: recent trends and challenges,10.1007/s00521-024-10555-x,"J Mycka, J Mańdziuk",2025,,,,,,,,,,,,,,,,,
Enhancing machine learning classification of microstructures: A workflow study on joining image data and metadata in CNN,10.1557/s43579-024-00549-0,"M Stiefel, M Müller, BI Bachmann, MA Guitar, ...",2024,,,,,,,,,,,,,,,,,
