"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Separation of Electric Guitar Sound based on stacked Recurrent Neural Network","W. -H. Lai; S. -L. Wang","dept. of Computer and Communication Engineering, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan; College of Engineering, Ph.D. Program in Engineering Science and Technology, National Kaohsiung University of Science and Technology, Kaohsiung, Taiwan",2020 International Conference on Technologies and Applications of Artificial Intelligence (TAAI),"23 Mar 2021","2020","","","52","55","Most audio source separation-related studies have been speech/singing separation, and those on musical instruments separation have been relatively scant. In this research, a stacked recurrent neural network was used to train a model to extract electric guitar sound from mixtures of electric guitar and other musical instruments. Objective assessment scores indicate that the proposed method can extract the electric guitar sounds from the musical mixtures successfully.","2376-6824","978-1-6654-0380-1","10.1109/TAAI51410.2020.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382435","Electric Guitar;Audio Separation;stacked Recurrent Neural Network;Gated Recurrent Unit","Training;Performance evaluation;Recurrent neural networks;Instruments;Music;Data models;Music information retrieval","","","","22","IEEE","23 Mar 2021","3-5 Dec. 2020","3-5 Dec. 2020","IEEE","IEEE Conferences"
"Spectrogram-Based Deep Learning for Flute Audition Assessment and Intelligent Feedback","M. Agarwal; R. Greer","Herricks High School, New Hyde Park, USA; Department of Electrical & Computer Engineering, University of California San Diego, La Jolla, USA",2023 IEEE International Symposium on Multimedia (ISM),"20 Mar 2024","2023","","","238","242","Performers of classical music require a blend of technical precision and artistic expression in their output, and this fusion, often referred to as “musicality,” is considered vital to performance quality. This paper introduces an innovative approach that leverages deep learning and LLMs to simultaneously evaluate and coach musicians using recorded performances on a variety of performance metrics at varying levels of subjectivity. A case study, centered around flute players performing a challenging excerpt from Ravel’s “Daphnis et Chloé,” demonstrates the proposed model’s capabilities. Feedback is generated by a large-language model based on machine-assessed quality, learned from human judgments. The model showcases promise in bridging the gap between technical precision and human expression in classical music performance assessment and provides a foundation for expanding the repertoire of assessed pieces and advancing the integration of AI in classical music education.","","979-8-3503-9576-1","10.1109/ISM59092.2023.00045","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10473475","spectrogram analysis;deep learning in music;quality assessment;feedback systems;artificial intelligence in music education","Deep learning;Measurement;Multimedia systems;Music;Artificial intelligence;Spectrogram","","6","","7","IEEE","20 Mar 2024","11-13 Dec. 2023","11-13 Dec. 2023","IEEE","IEEE Conferences"
"Estimation and Tonal Analysis of the Angle of Attack in a Classical Guitar Performance","C. T. Tolentino; F. De Leon","Electrical and Electronics Engineering Institute University of the Philippines, Diliman Quezon City, Philippines; Electrical and Electronics Engineering Institute University of the Philippines, Diliman Quezon City, Philippines",TENCON 2021 - 2021 IEEE Region 10 Conference (TENCON),"16 Feb 2022","2021","","","551","555","The classical guitar tone can be controlled by a number of gestural parameters performed by the player, including the plucking point position, the angle of attack, and the angle of release. In this study, we developed a video-based approach for estimating the angle of attack from a classical guitar performance. Our angle of attack estimation system achieved an average absolute error of 3.32 degrees on our data set containing 270 samples with varying angles of attack and plucking point positions. Moreover, we discovered through statistical analysis that the two gestural parameters indeed significantly affect the audio feature that describes the degree of brightness of the produced guitar sound, namely the spectral centroid. We were able to generate regression models with fair regression scores that correlate the spectral centroid with the two gestural parameters, and we further discovered that the regression scores decrease with increasing fundamental frequency of the classical guitar sound.","2159-3450","978-1-6654-9532-5","10.1109/TENCON54134.2021.9707361","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9707361","Classical Guitar;Computer Vision;Digital Signal Processing;Music Information Retrieval","Statistical analysis;Conferences;Brightness;Measurement uncertainty;Estimation;Production;Information retrieval","","1","","16","IEEE","16 Feb 2022","7-10 Dec. 2021","7-10 Dec. 2021","IEEE","IEEE Conferences"
"Digital Transformation in Music Education: Addressing Challenges in Technology-Enhanced Music Education","S. Sularso; W. Wadiyo; A. Cahyono; S. Suharto; A. Pranolo; Z. Nuryana","Universitas Negeri Semarang, Semarang, Indonesia; Universitas Negeri Semarang, Semarang, Indonesia; Universitas Negeri Semarang, Semarang, Indonesia; Universitas Negeri Semarang, Semarang, Indonesia; Universitas Ahmad Dahlan, Yogyakarta, Indonesia; Universitas Ahmad Dahlan, Yogyakarta, Indonesia",2023 XIII International Conference on Virtual Campus (JICV),"25 Jun 2024","2023","","","1","4","The study aims to examine the opportunities presented by technology in music education, such as personalized learning, interactive platforms, and access to extensive resources. Qualitative methods were used to conduct this research. The findings of this study reveal the plethora of opportunities that digital transformation offers in music education. Technology integration has the potential to foster creativity, promote collaborative learning, and enable individualized learning paths. However, the research also highlights significant challenges that need to be addressed, such as the need for professional development to support educators in making effective use of digital tools, ensuring equitable access to technology, and developing appropriate frameworks for the assessment and evaluation of technology-enhanced music learning. The study's contributions can help design effective strategies and policies that harness the potential of technology to create inclusive, engaging, and effective music learning environments. Ultimately, this work contributes to a broader discourse on digital transformation in education and lays the foundation for further research in this rapidly evolving field.","","979-8-3503-4344-1","10.1109/JICV59748.2023.10565641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10565641","digital technology;music education;personalized learning;technology integration;challenges in music education","Data privacy;Federated learning;Digital transformation;Education;Collaboration;Digital divide;Creativity","","1","","36","IEEE","25 Jun 2024","25-26 Sept. 2023","25-26 Sept. 2023","IEEE","IEEE Conferences"
"Research on Automatic Music Annotation Algorithm Based on Deep Learning","L. Wenqi","China Southwest Petroleum University, school of art, Chengdu, Sichuan Province, China","2023 3rd International Conference on Smart Generation Computing, Communication and Networking (SMART GENCON)","28 Feb 2024","2023","","","1","3","With the advent of the digital age, a large number of music works exist in digital form, which makes music automatic tagging an important research field. Automatic music tagging refers to the use of computer technology to classify, label and describe music in order to better organize and retrieve music resources. As an important technology in the field of artificial intelligence, deep learning has a profound impact on automatic music tagging. This paper will discuss in detail the influence, methods and measures of deep learning on automatic music tagging.","","979-8-3503-1912-5","10.1109/SMARTGENCON60755.2023.10441866","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441866","Artificial intelligence;deep learning algorithms;music labels;Automatic labeling","Deep learning;Annotations;Learning (artificial intelligence);Tagging;Multiple signal classification;Labeling;Recommender systems","","","","11","IEEE","28 Feb 2024","29-31 Dec. 2023","29-31 Dec. 2023","IEEE","IEEE Conferences"
"GuitarGuru: A Realtime Guitar Chords Detection System","V. Nagpurkar; N. Pattankar; T. Nayak; A. D’Souza; N. Henriques","Department of Computer Engineering, St. Francis Institute of Technology, Mumbai, India; Department of Computer Engineering, St. Francis Institute of Technology, Mumbai, India; Department of Computer Engineering, St. Francis Institute of Technology, Mumbai, India; Department of Computer Engineering, St. Francis Institute of Technology, Mumbai, India; Department of Computer Engineering, St. Francis Institute of Technology, Mumbai, India","2023 International Conference on Communication System, Computing and IT Applications (CSCITA)","20 Apr 2023","2023","","","107","112","The guitar is one of the most popular and widely used instruments. The guitar’s popularity makes it an obvious choice for many who wish to learn an instrument. And due to its popularity, there are many materials available to learn with. Learning guitar can be a fun and exciting experience for a budding musician but unfortunately with the resources available today learning an instrument without the aid of a professional musician can be challenging and tricky. The available systems do not completely help the guitarists to identify the chords. An alternative to taking music classes is to follow online courses or applications to learn the guitar but these methods come with their own set of drawbacks. Hence there is a need for a system that will help the guitarists with the same. This is where the GuitarGuru system comes in. Our main aim is to combine the best elements of various methods of learning the guitar into one ultimate application while leaving out the failures and drawbacks that come with these methods. We want to make it easier for budding musicians as well as experienced guitarists to learn, analyze and track their performance to make faster progress while learning this sophisticated and beautiful instrument. We plan to make, the GuitarGuru system to be a one-stop shop for all budding musicians that want to make quick progress on learning and mastering the guitar most efficiently without the aid of an actual musical instructor or an online course that doesn’t provide any live feedback. When words fail, music speaks.","","978-1-6654-5987-7","10.1109/CSCITA55725.2023.10104798","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10104798","CNN;Guitar Chord Recognition;Neural Networks;TensorFlow;Keras;OpenCV;Mediapipe.","Measurement;Communication systems;Instruments;Music","","1","","8","IEEE","20 Apr 2023","31 March-1 April 2023","31 March-1 April 2023","IEEE","IEEE Conferences"
"Research on music information retrieval algorithm based on deep learning","X. Yuan","Xianyang Normal University, shannxi, China",2022 World Automation Congress (WAC),"8 Nov 2022","2022","","","522","526","With the exponential growth of various network resources, the use of search engine has become one of the most basic skills of everyone in today's society, and an efficient information retrieval model is also of more significance. The traditional text-based music information retrieval method can retrieve music data by inputting text information such as song name, composer, singer and album name. The content-based music information retrieval queries the target music through the input music melody information. In the actual music information retrieval scene, there is interaction between the user and the retrieval model. The user gives feedback on the retrieval results, and the retrieval model returns a new page of document according to this feedback. The existing ranking learning model regards ranking as a one-time process, ignores user feedback, and the ranking effect needs to be improved. With the increasing demand for digital music information and the continuous expansion of application fields based on massive music data sets, content-based music information retrieval method is attracting more and more researchers' attention.","2154-4824","979-8-88831-444-9","10.23919/WAC55640.2022.9934127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9934127","Deep learning;Music information;retrieval","Deep learning;Learning systems;Gradient methods;Education;Reinforcement learning;Search engines;Recording","","1","","6","","8 Nov 2022","11-15 Oct. 2022","11-15 Oct. 2022","IEEE","IEEE Conferences"
"Fretnet: Continuous-Valued Pitch Contour Streaming For Polyphonic Guitar Tablature Transcription","F. Cwitkowitz; T. Hirvonen; A. Klapuri",University of Rochester; Yousician; Yousician,"ICASSP 2023 - 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","5 May 2023","2023","","","1","5","In recent years, the task of Automatic Music Transcription (AMT), whereby various attributes of music notes are estimated from audio, has received increasing attention. At the same time, the related task of Multi-Pitch Estimation (MPE) remains a challenging but necessary component of almost all AMT approaches, even if only implicitly. In the context of AMT, pitch information is typically quantized to the nominal pitches of the Western music scale. Even in more general contexts, MPE systems typically produce pitch predictions with some degree of quantization. In certain applications of AMT, such as Guitar Tablature Transcription (GTT), it is more meaningful to estimate continuous-valued pitch contours. Guitar tablature has the capacity to represent various playing techniques, some of which involve pitch modulation. Contemporary approaches to AMT do not adequately address pitch modulation, and offer only less quantization at the expense of more model complexity. In this paper, we present a GTT formulation that estimates continuous-valued pitch contours, grouping them according to their string and fret of origin. We demonstrate that for this task, the proposed method significantly improves the resolution of MPE and simultaneously yields tablature estimation results competitive with baseline models.","2379-190X","978-1-7281-6327-7","10.1109/ICASSP49357.2023.10094825","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10094825","continuous-valued multi-pitch estimation;guitar tablature transcription;automatic music transcription;pitch contour streaming;pitch modulation","Degradation;Quantization (signal);Instruments;Modulation;Estimation;Multiple signal classification;Complexity theory","","8","","23","IEEE","5 May 2023","4-10 June 2023","4-10 June 2023","IEEE","IEEE Conferences"
"An Electronic Music Classification Model Based on Machine Learning Algorithm to Optimize Children's Neural Network","D. Li","College of preschool education, Xiangzhong Normal College For Preschool Education, Shaoyang, China","2023 3rd International Conference on Smart Generation Computing, Communication and Networking (SMART GENCON)","28 Feb 2024","2023","","","1","4","With the development of society, people pay more attention to children's brain development. Among them, electronic music is an important part of optimizing children's neural networks, so the classification of electronic music is particularly important, ordinary methods can not solve the problem of optimizing music in children's neural networks, and the classification is not accurate. Therefore, this paper proposes a machine learning algorithm to innovate and create accurate music analysis. First, artificial intelligence is used to analyze music content, and indicators are divided according to music requirements to reduce music in the interfering factor. The influence of electronic music on children's growth and education has gradually attracted attention. However, the research on electronic music classification based on children's neural network is rare. The purpose of this paper is to explore how to use machine learning algorithm to classify electronic music of children's neural network, so as to improve children's cognition and understanding of music.","","979-8-3503-1912-5","10.1109/SMARTGENCON60755.2023.10442032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10442032","artificial intelligence;machine learning algorithms;Optimize children's neural networks","Machine learning algorithms;Computational modeling;Education;Learning (artificial intelligence);Data models;Electronic music;Biological neural networks","","","","16","IEEE","28 Feb 2024","29-31 Dec. 2023","29-31 Dec. 2023","IEEE","IEEE Conferences"
"Machine Learning and 5G Network in an Online Education WSN using AI Technology","A. S. Genale; B. B. Sundaram; A. Pandey; V. Janga; D. A. Wako; P. Karthika","Department of Computer Science, Bule Hora University; Computer Science Department, College of Informatics, Bule Hora University, Bule hora, Ethiopia; College of Informatics, Bule Hora University, Bule hora, Ethiopia; College of Informatics, Bule Hora University, Ethiopia; College of Informatics, Bule Hora University, Bule hora, Ethiopia; Department of Computer Applications, Kalasalingam Academy of Research and Education, India",2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC),"16 Jun 2022","2022","","","10","15","The technology effect is growing by the day. Artificial Intelligence, Machine Learning, Deep Learning, and Big Data are employed to acquire enough application feasibility to alleviate human labour strain. The manner in which the information society is developing in this globe. The impact will cause certain modifications in the educational system's evolution. This study focuses on how to improve remote music education in the presence of a 5G network. In this scenario, network speed is regarded as having one of the most significant effects on students taking online classes. As a result, a 5G network may be the greatest option for expanding network speed and providing a strong impetus. To train the intelligent system to deliver remote music education via wireless 5G networks, the suggested system employs the Convolutional Neural Network (CNN) technique. Compline, uncertainty, unverified, and out-of-place are the characteristics used to compare the proposed system to the existing system. The suggested method outperformed the old system in terms of total accuracy, achieving 99.13 percent.","","978-1-6654-9710-7","10.1109/ICAAIC53929.2022.9792654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9792654","Music Education;Remote Education;Wireless Sensor Networks;5G Technology;Convolutional Neural Network (CNN)","Wireless sensor networks;Uncertainty;5G mobile communication;Wireless networks;Education;Neural networks;Urban areas","","5","","31","IEEE","16 Jun 2022","9-11 May 2022","9-11 May 2022","IEEE","IEEE Conferences"
