id,apc_list.value,apc_paid.value,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,citation_normalized_percentile.value,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,ids.pmid,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.host_organization,primary_location.source.host_organization_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2991248973,,,Andrew Wiggins|Youngmoo E. Kim,https://openalex.org/A5082875779|https://openalex.org/A5025175604,|https://orcid.org/0009-0005-0922-1787,|US,|Drexel University,|https://openalex.org/I72816309,True|False,cc-by,0.8368111,14,,Guitar Tablature Estimation with a Convolutional Neural Network,https://doi.org/10.5281/zenodo.3527800,,1.4927,,False,en,True,green,Zenodo (CERN European Organization for Nuclear Research),https://openalex.org/I67311998,European Organization for Nuclear Research,https://openalex.org/S4306400562,,repository,Music and Audio Processing,2019-11-04,2019,article
https://openalex.org/W2406093013,,,Daniel R. Tuohy|Walter D. Potter,https://openalex.org/A5085622555|https://openalex.org/A5110195153,|,|,,,True|False,,0.70856673,12,,An Evolved Neural Network/HC Hybrid for Tablature Creation in GA-based Guitar Arranging,,,0.6361,,False,en,False,closed,,,,,,,Music and Audio Processing,2006-01-01,2006,article
https://openalex.org/W3162526528,,,Daniel R. Tuohy,https://openalex.org/A5085622555,,,,,True,,,5,,Creating tablature and arranging music for guitar with genetic algorithms and artificial neural networks,,,,,False,en,False,closed,,,,,,,Music Technology and Sound Studies,2006-05-01,2006,dissertation
https://openalex.org/W4411504903,,,Xuan Wang|M Haris,|https://openalex.org/A5069858488,https://orcid.org/0009-0008-6242-5967|https://orcid.org/0009-0006-5350-3834,MY|MY,Northern University of Malaysia|Northern University of Malaysia,https://openalex.org/I94625822|https://openalex.org/I94625822,True|False,cc-by,0.79279003,1,https://openalex.org/I94625822,AI-Driven Violin Performance Evaluation: A Deep Learning Approach for Automated Assessment and Personalized Feedback in Music Education,https://doi.org/10.1145/3734921.3734941,Universiti Utara Malaysia,1.239,,False,en,True,gold,,,,,,,Music and Audio Processing,2025-03-14,2025,article
https://openalex.org/W4411308899,,,N.A. Lu,https://openalex.org/A5001415644,,CN,Anyang Institute of Technology,https://openalex.org/I4210146051,True,cc-by,0.95532791,2,https://openalex.org/I4210146051,AI-powered intelligent music education systems for real-time feedback and performance assessment,https://doi.org/10.1504/ijict.2025.146690,,5.6152,,False,en,True,hybrid,International Journal of Information and Communication Technology,https://openalex.org/P4310317825,Inderscience Publishers,https://openalex.org/S168803321,1466-6642,journal,Educational Technology and Pedagogy,2025-01-01,2025,article
https://openalex.org/W4378588936,,,Frank Cwitkowitz|Jonathan Driedger|Zhiyao Duan,https://openalex.org/A5074979798|https://openalex.org/A5057320374|https://openalex.org/A5102749436,||https://orcid.org/0000-0002-8334-9974,||,,,True|False|False,,,2,,A Data-Driven Methodology for Considering Feasibility and Pairwise Likelihood in Deep Learning Based Guitar Tablature Transcription Systems,https://doi.org/10.48550/arxiv.2204.08094,,,,False,en,True,green,arXiv (Cornell University),https://openalex.org/I205783295,Cornell University,https://openalex.org/S4306400194,,repository,Music and Audio Processing,2022-04-17,2022,preprint
https://openalex.org/W4415008154,,,Lidija Vladić Mandarić|Emil Brajković,https://openalex.org/A5119926483|https://openalex.org/A5028454534,|https://orcid.org/0000-0002-1726-2029,BA|BA,University of Mostar|University of Mostar,https://openalex.org/I150934001|https://openalex.org/I150934001,True|False,,0.95280587,1,https://openalex.org/I150934001,AI Technologies in Music Education: Personalized Learning for Elementary School Students,https://doi.org/10.1007/978-3-032-02801-3_12,,4.6044,,False,en,False,closed,Communications in computer and information science,https://openalex.org/P4310319900,Springer Science+Business Media,https://openalex.org/S2764900261,1865-0929,book series,Environmental Engineering and Cultural Studies,2025-10-09,2025,book-chapter
https://openalex.org/W374615042,,,Stephen Grossberg,https://openalex.org/A5080971897,https://orcid.org/0000-0002-2839-7914,,,,True,,0.99788584,494,,"Studies of mind and brain : neural principles of learning, perception, development, cognition, and motor control",,,50.7542,,False,en,False,closed,,,,,,,Neural Networks and Applications,1982-01-01,1982,book
https://openalex.org/W4412923472,,,Hongyan Xiao,https://openalex.org/A5112588301,,CN,Liaoning University of Technology,https://openalex.org/I2898894,True,cc-by,0.89586726,1,https://openalex.org/I2898894,Personalized Learning Path Planning and Effect Verification of Music Education Information System Empowered By Artificial Intelligence,https://doi.org/10.1145/3744367.3744437,,2.1406,,False,en,True,gold,,,,,,,Educational Technology and Pedagogy,2025-04-25,2025,article
https://openalex.org/W4292340973,2300,2300,Yanjing Li,https://openalex.org/A5082061803,https://orcid.org/0000-0003-4836-050X,CN,Langfang Normal University,https://openalex.org/I4210163890,True,cc-by,0.46567777,1,https://openalex.org/I4210163890,[Retracted] Machine Learning‐Based Aesthetic Music Education Informatics Assessment Method,https://doi.org/10.1155/2022/4301761,,0.1552,,True,en,True,hybrid,Wireless Communications and Mobile Computing,https://openalex.org/P4310320595,Wiley,https://openalex.org/S235346,1530-8669,journal,Technology Assessment and Management,2022-01-01,2022,article
https://openalex.org/W7129546459,2950,2950,Xiaoyu Peng|Kangrui Sun|Xin Shan|Junhan Zhang,https://openalex.org/A5126231587|https://openalex.org/A5126269763|https://openalex.org/A5024841394|https://openalex.org/A5126231302,|||,KR|KR|KR|US,Sangmyung University|Sangmyung University|Sangmyung University|Perfect Harmony Health,https://openalex.org/I157264075|https://openalex.org/I157264075|https://openalex.org/I157264075|https://openalex.org/I4210089335,True|False|False|False,cc-by,0.99737828,1,https://openalex.org/I157264075,Empowerment or dependency? A systematic review of the impacts of intelligent assessment and generative AI on learners’ self-beliefs and cognitive agency in music education,https://doi.org/10.3389/fpsyg.2026.1776445,,95.375,https://pubmed.ncbi.nlm.nih.gov/41783302,False,en,True,gold,Frontiers in Psychology,https://openalex.org/P4310320527,Frontiers Media,https://openalex.org/S9692511,1664-1078,journal,Diverse Music Education Insights,2026-02-17,2026,article
https://openalex.org/W1608543446,,,,,,,,,,,0.79012346,60,,Readings in Music and Artificial Intelligence,https://doi.org/10.4324/9780203059746,,0.5338,,False,en,False,closed,,,,,,,Music and Audio Processing,2013-10-28,2013,book
