title,abstract,authors,year,doi,source,include_title_screening,exclusion_reason,url,publisher,cites
Convolutional neural networks for the classification of guitar effects and extraction of the parameter settings of single and multi-guitar effects from instrument …,"… of guitar effects and extraction of their parameter settings from solo guitar audio recordings. … and parameter extraction of guitar effects from audio samples containing guitar, bass, …","R Hinrichs, K Gerkens, A Lange, ...",2022,10.1186/s13636-022-00257-4,Google Scholar,yes,,https://link.springer.com/article/10.1186/s13636-022-00257-4,Springer,8
Classification of guitar effects and extraction of their parameter settings from instrument mixes using convolutional neural networks,… The confusion of slapback and feedback delay on the GEC-GIT is not surprising as mostly very small parameter settings for the feedback parameter of the feedback delay were …,"R Hinrichs, K Gerkens, J Ostermann",2022,10.1007/978-3-031-03789-4_7,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-03789-4_7,Springer,6
A customizable mathematical model for determining the difficulty of guitar triad chords for machine learning,"… Music recommendation systems (MRS) for guitar learning … , guitar is one of the toughest instruments to play, and the growing number of guitar learners makes system design for guitar …","N Sharma, S Sharma",2022,10.1007/978-981-99-2322-9_51,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-981-99-2322-9_51,Springer,8
Towards developing a virtual guitar instructor through biometrics informed human-computer interaction,"… of guitar players, we intend to apply deep learning models, eg, … human feedback (via insights from expert guitar performers) to … and amateur guitar players and receive their feedback on …","C Rhodes, R Allmendinger, C Jay, ...",2023,10.1145/3544549.3582738,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3544549.3582738,dl.acm.org,7
Measuring the impacts of extra-musical elements in guitar music playing: a pilot study,"… In addition, to measure manifestations of expressivity … From these results, we used machine learning techniques to … test the experts’ evaluation and audio analysis processes. Following …","I Héroux, S Giraldo, R Ramírez, F Dubé, ...",2020,10.3389/fpsyg.2020.01964,Google Scholar,yes,,https://www.frontiersin.org/articles/10.3389/fpsyg.2020.01964/full,frontiersin.org,3
Soloist: Generating mixed-initiative tutorials from existing guitar instructional videos through audio processing,"… -shelf guitar video lessons. Soloist takes raw videos as input and leverages deep-learning … A remote user study, conducted to gather feedback from guitar players, shows encouraging …","B Wang, MY Yang, T Grossman",2021,10.1145/3411764.3445162,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://dl.acm.org/doi/abs/10.1145/3411764.3445162,dl.acm.org,37
Cloud-smart musical instrument interactions: Querying a large music collection with a smart guitar,"… criteria, a formal evaluation of the audio analysis can be made. … if we consider that machine learning methods may need large training … This is a nascent topic within the machine learning …","L Turchet, J Pauwels, C Fischione, ...",2020,10.1145/3377881,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3377881,dl.acm.org,49
GTR-CTRL: instrument and genre conditioning for guitar-focused music generation with transformers,"… In this work, we use the DadaGP dataset for guitar tab music … Transformer-XL deep learning model to generate guitar tabs (… a toolkit for symbolic music generation and evaluation [8]. We …","P Sarmento, A Kumar, YH Chen, CJ Carr, ...",2023,10.1007/978-3-031-29956-8_17,Google Scholar,yes,,https://link.springer.com/chapter/10.1007/978-3-031-29956-8_17,Springer,40
Let's frets! Assisting guitar students during practice via capacitive sensing,"… of traditional guitar notation. Then, we provide an overview on audio analysis, setups based … Further, our results show how different feedback modalities impact the practice of new guitar …","K Marky, A Weiß, A Matviienko, F Brandherm, ...",2021,10.1145/3411764.3445595,Google Scholar,no,Relacionado a guitarra/aprendizado mas não menciona IA/ML,https://dl.acm.org/doi/abs/10.1145/3411764.3445595,dl.acm.org,33
GUITAR: Gradient Pruning toward Fast Neural Ranking,… measure evaluation is saved by using GUITAR? … deep learning for feature learning in a new neural network architecture. We set the factorization part dimension as 8 and deep learning …,"W Zhao, S Tan, P Li",2024,10.1145/3626772.3657728,Google Scholar,yes,,https://dl.acm.org/doi/abs/10.1145/3626772.3657728,dl.acm.org,2
